energy, energy_uncertainty, intensity, intensity_uncertainty
627.18, 0.2, 0.00000056, 0.00000017009221028606807
632.93, 0.15, 0.00000126, 0.00000019041733114399014
641.47, 0.05, 0.0000071, 0.0000003082872037564972
653.02, 0.04, 0.0000377, 0.000001162810818663122
662.4, 0.02, 0.000364, 0.000008789175160389057
666.5, 0.3, 0.00000049, 0.0000000049
669.83, 0.2, 0.00000038, 0.00000012006015159077554
676.03, 0.3, 0.00000064, 0.0000001301574431217823
680.1, 0.1, 0.00000313, 0.00000017285742680023904
688.72, 0.04, 0.0000325, 0.0000008634958019585271
693.62, 0.08, 0.00000368, 0.00000017393746002514812
696.6, 0.05, 0, 0
696.6, 0.05, 0.00000534, 0.00000020700618348252306
709.45, 0.05, 0.00000641, 0.0000001910727871780804
722.01, 0.03, 0, 0
722.01, 0.03, 0.000196, 0.000004454391091945115
729.72, 0.15, 0.00000133, 0.0000001406303310100634
731.5, 0, 0.00000047, 0.0000001500736152693071
737.34, 0.05, 0.000008, 0.00000025298221281347034
742.9, 0.3, 0.00000035, 0.0000000035
755.9, 0.05, 0.0000076, 0.0000002901310048926174
759.38, 0.1, 0.00000167, 0.00000009153627696165058
763.9, 0.3, 0.0000002, 0.00000006003332407921454
767, 0.1, 0.000005, 0.00000018681541692269406
770.57, 0.1, 0.00000474, 0.00000021528297656805103
772.4, 0.3, 0.00000266, 0.00000015234027701169511
777.2, 0, 0.000000061, 0.000000031006001032058295
780.7, 0.2, 0.00000025, 0.00000005006246098625197
782.2, 0.5, 0.00000015, 0.0000000015
786, 0.15, 0.00000062, 0.0000000062
789.17, 0.25, 0.00000039, 0.00000006012661640238872
794.92, 0.2, 0.00000094, 0.0000000094
801.94, 0.2, 0.00000136, 0.0000001406590203293056
806.26, 0.3, 0.00000031, 0.0000000031
812.01, 0.3, 0.00000061, 0.00000008023222544588926
819, 1, 0.0000004, 0.00000006013318551349163
822.6, 0, 0.00000022, 0.00000006004031978595717
828.5, 0, 0.00000024, 0.00000006004798081534465
835.6, 1, 0.00000021, 0.0000000020999999999999998
841.5, 1, 0.00000004, 0.000000010007996802557442
847.4, 0.5, 0.00000027, 0.00000003012125495393577
851.6, 1, 0.00000038, 0.0000000601202129071413
854.7, 0, 0.0000002, 0.00000004004996878900157
860.7, 0.5, 0.000000082, 0.000000025013444384970257
862.7, 0.5, 0.00000053, 0.0000000602336284811068
870.7, 0.3, 0.00000046, 0.0000000046
887.3, 0.3, 0.00000022, 0.00000005004837659704858
